小区,状态,单价,总价,地址,房型,,
世纪金源梧桐印象,待售,21883,170-210(万/套),"金山/金山/朱枫公路与枫湾路交叉口		",户型：2室/3室建面 78-100㎡,,
浦发东悦城,待售,41000,299-533(万/套),"浦东/周浦/周汇路158弄		",户型：1室/3室建面 72-180㎡,,
大家美颂,在售,26840,210(万/套),"奉贤/奉城/奉贤区奉城镇兰博路1309弄		",户型：2室建面 65-88㎡,,
中海阅麓山,在售,37000,350-460(万/套),"松江/小昆山/文翔路昆水街		",户型：2室/3室建面 70-125㎡,,
国乐广场,在售,42000,330(万/套),"松江/松江新城/茸平路333弄		",,,
佳兆业城市广场,在售,34500,283-317(万/套),"嘉定/徐行/新建一路1899弄		",户型：3室建面 82-140㎡,,
华纺和成未来派,在售,19000,175-222(万/套),"金山/金山/九工路1885弄		",户型：3室/4室建面 85-119㎡,,
长城逸府,在售,18600,167-329(万/套),"金山/金山/白牛路1068弄		",户型：3室/4室建面 90-177㎡,,
澜庭,在售,20398,224-257(万/套),"金山/金山/博海路118弄		",户型：3室建面 74-138㎡,,
汤泉美地城,在售,19800,241-283(万/套),"金山/金山/金石北路6800弄		",户型：3室/4室建面 122-143㎡,,
同润蓝美俊庭,在售,28000,250-270(万/套),"浦东/大团镇/大团镇南芦公路989弄		",户型：2室建面 88-134㎡,,
佳源梦想广场,在售,22000,195(万/套),"奉贤/海湾/金海公路99弄		",户型：2室建面 85-90㎡,,
毕加索花园小镇,在售,19000,170-420(万/套),"金山/金山/康德路358弄, 东贤路289弄, 康德路359弄		",户型：2室/3室建面 75-220㎡,,
合生财富海景公馆,在售,28000,265-495(万/套),"金山/金山/龙胜路69弄, 龙胜路39号, 龙胜路43号, 龙胜路47号, 龙胜路51号, 龙胜路55号, 龙胜路59号, 龙胜路63号		",户型：2室/3室/4室建面 83-177㎡,,
万业紫辰苑,待售,46000,348-500(万/套),"宝山/杨行/江杨北路1568弄		",户型：2室/3室建面 87-125㎡,,
天和前滩时代,在售,30000,310(万/套),"奉贤/奉贤金汇/万顺路2968弄, 万顺路2768弄		",户型：3室建面 108㎡,,
朗诗未来街区,在售,29800,217-243(万/套),"奉贤/奉贤金汇/北行路555弄		",户型：2室/3室建面 76-86㎡,,
中冶墅境,在售,19000,260-320(万/套),"金山/金山/泾波路999弄		",户型：3室/4室建面 85-155㎡,,
同润金色橘苑,在售,33000,272(万/套),"浦东/万祥镇/严木桥路198弄		",户型：2室建面 78-92㎡,,
湖山香颂湾,在售,31000,253-394(万/套),"金山/金山/龙轩路999弄, 龙轩路869弄		",户型：2室/3室建面 89-127㎡,,
钰丰商都,在售,27000,175(万/套),"松江/泗泾/沪松公路2288弄		",,,
水榭兰亭,在售,23000,230-307(万/套),"奉贤/奉城/奉贤区奉海公路与兰博路交叉路口往北约50米		",户型：2室/3室建面 89-123㎡,,
中州泷玺台,在售,15000,250(万/套),"浦东/惠南/拱北路111弄（四期）		",,,
盘古悦天地,在售,41000,240(万/套),"宝山/淞宝/盘古路732号		",,,
海湾名悦豪庭,在售,23000,214-271(万/套),"奉贤/海湾/瞭海路159弄		",户型：3室建面 93-118㎡,,
美溪里,在售,20000,272(万/套),"金山/金山/金张公路与石水路交叉口		",户型：3室建面 127㎡,,
美溪里,在售,28000,360-510(万/套),"金山/金山/上海市金山区石水路55弄		",户型：3室/5室建面 126-188㎡,,
万科七宝国际,在售,80000,254(万/套),"闵行/七宝/新龙路1333弄, 新龙路1373号, 新龙路1353号, 中春路8633弄		",,,
汉石丽苑休闲广场,在售,45000,160(万/套),"闵行/老闵行/安宁路905.907.909.911.913.915号, 安宁路923弄2.4.6.8.10.12.18.22号, 凤庆路204.210.212.216号, 凤庆路208弄2-14(双)号		",,,
佳源梦想广场,在售,30000,179(万/套),"奉贤/海湾/金海公路99弄		",,,
长江国际购物中心,在售,60000,115(万/套),"宝山/高境/殷高西路333号,殷高西路555号		",,,
晶尚坊,在售,39000,250(万/套),"松江/泗泾/松江泗泾镇江川北路321弄（江川路鼓浪路交叉口）		",,,
金山万达海汇街,在售,25000,200(万/套),"金山/金山/龙皓路962、968号, 龙皓路1068号, 海汇街628弄, 海汇街625弄, 龙皓路950弄, 龙皓路1018号, 海汇街622号, 海汇街588弄、599弄		",,,
禹洲城市广场,在售,21000,250(万/套),"浦东/书院镇/船山街49弄, 老芦公路895号, 老芦公路857号		",,,
三弦商业广场,在售,35000,200(万/套),"闵行/浦江/江镇三鲁路2449号		",,,
古城新苑,在售,35000,300(万/套),"金山/金山/东平北路951号, 龙皓路1738弄		",,,
金山红星国际广场,在售,15000,100(万/套),"金山/金山/龙翔路685号		",,,
中粮南桥锦云,在售,36600,285(万/套),"奉贤/南桥/德政路298弄		",,,
浦东微谷,在售,28500,160(万/套),"浦东/惠南/拱极路2626弄42号, 拱极路2626弄38号, 拱北路313弄3支弄, 惠南镇拱北路和川南奉公路交界东南侧		",,,
宝龙城市广场(嘉定),在售,55000,260(万/套),"嘉定/嘉定新城/阿克苏路1099号		",,,
佳兆业城市广场(商业类),在售,30000,349(万/套),"嘉定/徐行/胜竹东路与澄流中路交汇处		",,,
两港壹号铺,在售,30000,290(万/套),"浦东/宣桥/南六公路799号		",,,
华泰中心,在售,34000,360-600(万/套),"嘉定/江桥/金运路与鹤旋路交汇处, 金运路355号		",,,
宝龙城市广场(奉贤),在售,45000,300(万/套),"奉贤/南桥/环城东路732弄, 航南公路5699号, 航南公路5639号, 环城东路750号, 航南公路5729弄, 环城东路724号, 环城东路726号, 环城东路722号, 环城东路720号, 环城东路718号, 环城东路728号, 环城东路742号, 环城东路7		",,,
中新传媒大厦,在售,70000,363(万/套),"浦东/金桥/金港路211号, 金湘路228号		",,,
中锐悦立方,在售,21000,80(万/套),"金山/金山/海芙路186弄（海芙路龙翔路口）, 海盛路381弄, 海芙路442弄, 海芙路		",,,
光明金山府,在售,25000,233-318(万/套),"金山/金山/龙堰路223弄		",户型：2室/3室建面 90-118㎡,,
